input_file_path	location	detected_objects	detected_scores	detected_boxes	output_file_path
Netlight Berlin/60346409_10156472245222169_8083907231721979904_o.jpg	Berlin	[u'person', u'person', u'person', u'person', u'horse', u'person', u'person', u'person', u'person', u'wine glass', u'person', u'person', u'person', u'person']	[0.6890279, 0.98678374, 0.87035537, 0.9545205, 0.0008091964, 0.96572167, 0.9616904, 0.77862006, 0.9865355, 0.0016179828, 0.6080817, 0.99525887, 0.77723634, 0.7728719]	[(0.3961816132068634, 0.43350648880004883, 0.8525058031082153, 0.6680940985679626), (0.22208832204341888, 0.003245964180678129, 0.8288424015045166, 0.1752932369709015), (0.2446499764919281, 0.4090317487716675, 0.5126170516014099, 0.5664638876914978), (0.45342549681663513, 0.5648074150085449, 0.8851900696754456, 0.7453870177268982), (0.4122651219367981, 0.40478670597076416, 0.8500744104385376, 0.7540596723556519), (0.4135795831680298, 0.2870650291442871, 0.8283010721206665, 0.481150358915329), (0.3721705377101898, 0.11323443055152893, 0.8349130153656006, 0.3307265639305115), (0.23180608451366425, 0.34636223316192627, 0.4720991253852844, 0.46084436774253845), (0.15256544947624207, 0.6863516569137573, 0.5658941268920898, 0.9915469884872437), (0.773983359336853, 0.7932365536689758, 0.8444992303848267, 0.8534091114997864), (0.22471459209918976, 0.49686968326568604, 0.6709604859352112, 0.7226175665855408), (0.4652840197086334, 0.7214217185974121, 0.9385449290275574, 0.9619914889335632), (0.2414151132106781, 0.22162583470344543, 0.5064271688461304, 0.3841942548751831), (0.21426056325435638, 0.11634169518947601, 0.6749602556228638, 0.2506120800971985)]	Test_Output_Data/60346409_10156472245222169_8083907231721979904_o-2019-08-27-104157.jpg
Netlight Berlin/60405642_173457930328373_7567150539871073066_n.jpg	Berlin	[u'person', u'horse', u'person']	[0.9964007, 0.0006048323, 0.99555284]	[(0.01477887388318777, 0.018779780715703964, 0.9530038833618164, 0.6924900412559509), (0.21585702896118164, 0.14871732890605927, 0.976386547088623, 0.8953480124473572), (0.015556923113763332, 0.12521326541900635, 0.9934784173965454, 0.9852235913276672)]	Test_Output_Data/60405642_173457930328373_7567150539871073066_n-2019-08-27-104211.jpg
Netlight Berlin/60660885_366809094021890_6931362777999081472_n.jpg	Berlin	[u'tie', u'tie', u'wine glass', u'person', u'horse', u'book', u'person', u'person', u'book', u'person']	[0.75649095, 0.50411874, 0.8773068, 0.9389756, 0.27181762, 0.6616923, 0.9874067, 0.8454143, 0.59866434, 0.56146324]	[(0.902345597743988, 0.0888671800494194, 0.964398205280304, 0.10600395500659943), (0.39315953850746155, 0.723112165927887, 0.46382442116737366, 0.7384026646614075), (0.022881444543600082, 0.35517871379852295, 0.641676664352417, 0.637086033821106), (0.7812318205833435, 0.051065344363451004, 0.9706440567970276, 0.16873720288276672), (0.2672109007835388, 0.5898543000221252, 0.5230353474617004, 0.6619016528129578), (0.5869383215904236, 0.09370148181915283, 0.9699732661247253, 0.9629082083702087), (0.0, 0.03189036250114441, 0.8132164478302002, 0.7050514221191406), (0.7981074452400208, 0.15979166328907013, 0.9741367101669312, 0.2735128700733185), (0.10274083912372589, 0.13325460255146027, 0.8417412042617798, 0.9148191809654236), (0.3313237130641937, 0.007856165990233421, 0.7595471143722534, 0.4699728786945343)]	Test_Output_Data/60660885_366809094021890_6931362777999081472_n-2019-08-27-104228.jpg
Netlight Berlin/61069245_719004035169243_8679586916243417702_n.jpg	Berlin	[u'person', u'person', u'person', u'horse']	[0.9394647, 0.9992078, 0.8233006, 0.008337307]	[(0.044964320957660675, 0.5998428463935852, 0.8525662422180176, 0.9794102907180786), (0.3359147608280182, 0.1848987489938736, 0.9911415576934814, 0.5143723487854004), (0.3262108564376831, 0.7409623265266418, 1.0, 0.9886348247528076), (0.053904853761196136, 0.43716078996658325, 0.6214919090270996, 0.9096691608428955)]	Test_Output_Data/61069245_719004035169243_8679586916243417702_n-2019-08-27-104243.jpg
Netlight Berlin/61077353_2480585728627947_7207864432333214267_n.jpg	Berlin	[u'person', u'person', u'person', u'person', u'person', u'horse', u'person', u'person', u'person', u'person', u'person', u'person', u'person']	[0.8727204, 0.67933065, 0.93886423, 0.51982135, 0.96402586, 0.0009690006, 0.9717534, 0.7301679, 0.92173207, 0.7092393, 0.96138364, 0.73643965, 0.9607917]	[(0.16659149527549744, 0.010482266545295715, 0.8233557343482971, 0.1929558664560318), (0.5150335431098938, 0.9184125065803528, 0.8437012434005737, 0.9990706443786621), (0.2732156217098236, 0.034568432718515396, 0.9617525339126587, 1.0), (0.3784865438938141, 0.8966079950332642, 0.5020720362663269, 0.9950641989707947), (0.6581123471260071, 0.3945477604866028, 0.9957590699195862, 0.5468100905418396), (0.656059741973877, 0.0002871958422474563, 1.0, 0.0696270614862442), (0.6875097751617432, 0.5406638979911804, 0.987291693687439, 0.8769972920417786), (0.14683906733989716, 0.0030394871719181538, 0.8069918155670166, 0.10887375473976135), (0.46131205558776855, 0.021511809900403023, 0.7965954542160034, 0.19811004400253296), (0.5639224648475647, 0.824345052242279, 0.7875499725341797, 0.9353330731391907), (0.6556551456451416, 0.18857555091381073, 0.9283578991889954, 0.37939316034317017), (0.5149385929107666, 0.6798242926597595, 0.7958522439002991, 0.8458206057548523), (0.7195685505867004, 0.7627174854278564, 0.9454894065856934, 0.9996258616447449)]	Test_Output_Data/61077353_2480585728627947_7207864432333214267_n-2019-08-27-104258.jpg
Netlight Berlin/61375144_122185635660182_4227536386751999569_n.jpg	Berlin	[u'horse', u'person', u'person', u'person', u'wine glass']	[0.0012317704, 0.51972586, 0.98861516, 0.99900275, 0.001404881]	[(0.21622976660728455, 0.0810864269733429, 0.9163505434989929, 0.8744233250617981), (0.18929797410964966, 0.161204993724823, 0.999532163143158, 0.8556313514709473), (0.2849360704421997, 0.027801387012004852, 1.0, 0.48102235794067383), (0.12054046988487244, 0.343311071395874, 1.0, 0.9994382858276367), (0.6116146445274353, 0.12073340266942978, 0.7549120783805847, 0.21966110169887543)]	Test_Output_Data/61375144_122185635660182_4227536386751999569_n-2019-08-27-104313.jpg
Netlight Berlin/61679906_146769063120989_9113532202162263313_n.jpg	Berlin	[u'horse', u'book', u'wine glass', u'person']	[0.00064352545, 0.9843589, 0.00065508985, 0.9997224]	[(0.368259072303772, 0.0019618987571448088, 0.9610398411750793, 0.8362852931022644), (0.640940248966217, 0.3107721507549286, 0.7897663712501526, 0.5684924125671387), (0.773902177810669, 0.0058552296832203865, 1.0, 0.11359835416078568), (0.0, 0.0, 1.0, 0.8173255324363708)]	Test_Output_Data/61679906_146769063120989_9113532202162263313_n-2019-08-27-104327.jpg
Netlight Berlin/66700372_1897442610359346_1248534296197587796_n.jpg	Berlin	[u'horse']	[0.000695788]	[(0.12575583159923553, 0.11973994225263596, 0.21323108673095703, 0.2024116814136505)]	Test_Output_Data/66700372_1897442610359346_1248534296197587796_n-2019-08-27-104341.jpg
Netlight Berlin/69092485-04e7-49ba-922a-64a660d4492c-1520329744570.png	Berlin	[u'airplane']	[0.76022387]	[(0.13128459453582764, 0.100235715508461, 0.9314870238304138, 0.9212093949317932)]	Test_Output_Data/69092485-04e7-49ba-922a-64a660d4492c-1520329744570-2019-08-27-104356.png
Netlight Berlin/719232478_295x166.jpg	Berlin	[u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass']	[0.0006172987, 0.0005255786, 0.00069473335, 0.00088193855, 0.0005677419, 0.0010287152, 0.0070806523, 0.0013573102, 0.008140827]	[(0.5775632262229919, 0.5773837566375732, 0.9425029754638672, 0.6786673069000244), (0.47451749444007874, 0.18323735892772675, 0.6009514927864075, 0.22119544446468353), (0.442827969789505, 0.5478501319885254, 1.0, 0.734201192855835), (0.6056789755821228, 0.5586150288581848, 0.9775834679603577, 0.6576982140541077), (0.6622197031974792, 0.5626929998397827, 0.9621944427490234, 0.7041763067245483), (0.6679844856262207, 0.6112450957298279, 0.8353920578956604, 0.6411228775978088), (0.6796210408210754, 0.5917309522628784, 0.885373592376709, 0.6305224895477295), (0.6347031593322754, 0.5335156321525574, 0.9725207090377808, 0.6291558146476746), (0.6595632433891296, 0.6241938471794128, 0.816735565662384, 0.6568223834037781)]	Test_Output_Data/719232478_295x166-2019-08-27-104411.jpg
